Date,Open,High,Low,Close,Volume
2015-01-01,100.84345360896822,101.3536110778834,100.04547835438632,100.49671415301123,1838628
2015-01-02,100.16244353188048,101.43501369480906,99.60733430395213,100.35844985184005,2409399
2015-01-05,101.53610658196405,101.66242078144725,101.52393689968115,101.00613838994074,2227933
2015-01-06,102.83767122113711,103.30680207534752,102.74479671974406,102.52916824634876,4014445
2015-01-07,102.63679953322567,103.62966553431121,101.36525101233339,102.29501487162543,4332299
2015-01-08,101.37790005907598,102.8231053234882,100.2248157273362,102.06087791467625,1543708
2015-01-09,104.24606272287684,104.91233239492037,103.27826825387342,103.64009073018364,4302036
2015-01-12,104.53815072495348,105.11612924859304,104.13915856745179,104.40752545933655,1792650
2015-01-13,103.75341250377849,104.33077602888515,102.70336346222507,103.9380510734016,1124283
2015-01-14,104.55230535065868,104.68096479701074,104.22764711515616,104.48061111698756,1443108
2015-01-15,103.12907580772594,104.53601055361769,102.98608517291672,104.0171934241751,3826543
2015-01-16,103.75579007634518,104.23990857093,102.02977945767842,103.55146367060485,3327613
2015-01-19,103.27874018807984,104.23400942528704,103.00837349131866,103.79342594217087,4734073
2015-01-20,101.2038105545913,101.24255344958084,101.17642623418756,101.88014569751307,2913617
2015-01-21,99.3940482718911,100.00239903657044,97.44094107361852,100.15522786500004,4877995
2015-01-22,100.14928452325402,100.74181483057178,99.46232789115535,99.59294033575907,3311354
2015-01-23,98.26547751857827,98.67511363726226,96.72941633686874,98.58010921542466,1142298
2015-01-26,99.66122040297817,100.0181931622451,99.06368269708345,98.89435654801993,1647396
2015-01-27,97.71843174097256,97.79971016302876,97.00712851402308,97.98633247249872,4066927
2015-01-28,95.72034979236696,95.75824287408379,95.60322557621711,96.57402877116343,3893630
2015-01-29,97.48141532011066,99.86978731298109,97.24519167384642,98.03967754008498,3343179
2015-01-30,98.4318070496019,99.61606369479807,97.49265147983122,97.81390123959844,4001046
2015-02-02,97.80348035531803,98.52630725030355,97.4190929787251,97.88142944428637,2944353
2015-02-03,96.1825376098276,96.29433676803099,95.97677061615043,96.4566812580729,1037117
2015-02-04,95.99230764647412,96.99946484707078,94.38668781390899,95.91229853354773,4275708
2015-02-05,96.27411249134136,96.7921072677328,94.19337196595038,96.02322112325758,4019621
2015-02-06,95.43092695378651,95.45713170656055,94.22510853307047,94.87222754583529,3025558
2015-02-09,95.97217517912742,96.27573950439333,95.03537994416804,95.24792556418096,4126452
2015-02-10,94.46740255136761,94.5483198890303,93.095323364098,94.64728687426215,4355672
2015-02-11,93.69256928142786,96.86299501730592,92.5126271513894,94.35559312446888,1188349
2015-02-12,93.54715393167784,93.75775477097548,92.81525586244346,93.75388651223948,4886467
2015-02-13,95.73630495003987,96.22478103015023,94.48178624765868,95.60616469674842,4598557
2015-02-16,95.11078800890519,96.70345800718808,94.31008606135961,95.59266747201049,1541661
2015-02-17,94.05638108560707,94.07572515641883,91.99653608386967,94.53495654305459,1045452
2015-02-18,95.52939539593271,96.71835881546767,94.97067155898823,95.35750145515777,4326889
2015-02-19,94.11233162940154,94.16221178352966,93.95585425327837,94.13665780518676,2055230
2015-02-20,94.3619198978973,95.4080409829598,94.01899352057595,94.3455214001915,1948784
2015-02-23,92.0066036089617,92.48001102467417,90.76313448061573,92.38585127631173,2235789
2015-02-24,90.94246487031043,91.23341223464992,90.16308954505031,91.05766522741331,3220471
2015-02-25,90.79240989114828,91.75024952225655,90.1405213086169,91.25452646328243,1892078
2015-02-26,92.43809224884023,93.2289740405348,92.12913223424233,91.99299304327783,1219015
2015-02-27,92.68198599182968,92.71599408805783,90.57740319306434,92.1643613244678,4606838
2015-03-02,91.12561911096053,92.49064090638717,90.98754070254299,92.04871304207957,2861591
2015-03-03,91.28285391639407,91.98434869831878,89.39672521244304,91.74760934649028,2821969
2015-03-04,89.52082272857781,90.03969390901793,89.4677634156452,90.26908735612285,2667106
